coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
6acb27e6-c814-449d-8951-c5b1d5d15b26,https://cdn.plantatlas.org/img/specimens/USF/243788.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,7d46b4547497882644958dddf38b2cc222725802,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/243788.jpg""]","[""6acb27e6-c814-449d-8951-c5b1d5d15b26""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,d4d81078-abe9-4955-af16-16765a46d9ae,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
dfe97306-fcd1-49ec-9257-cab5054fef11,https://cdn.plantatlas.org/img/specimens/USF/279770.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,c48aadde6c264922550f02d0a68e9d5864ae8a14,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/279770.jpg""]","[""dfe97306-fcd1-49ec-9257-cab5054fef11""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,130302ae-6d63-4387-8dd6-f0c48be748b8,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
e139363f-dd2d-41d6-a3ad-7144d6906ce8,https://cdn.plantatlas.org/img/specimens/USF/136151.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,dd6f2d3c1e75b7a255759773b27ae001e1d38d7c,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/136151.jpg""]","[""e139363f-dd2d-41d6-a3ad-7144d6906ce8""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,2293f19e-b8a3-4808-96ce-a82ffce4d504,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
7a399c38-6ef1-4cb5-89ce-a692aa005fac,https://cdn.plantatlas.org/img/specimens/USF/297731.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,4a6fd87c2524f2ffa69359c7cc73543916814617,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/297731.jpg""]","[""7a399c38-6ef1-4cb5-89ce-a692aa005fac""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,54540a47-cf4f-4795-8ffd-90d97a4f6dde,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
677accd3-1bd8-41e3-93ad-bdfc70720db4,https://cdn.plantatlas.org/img/specimens/USF/181225.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,9ea54cfff3ab864332536f6ab1316edb34159ffe,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/181225.jpg""]","[""677accd3-1bd8-41e3-93ad-bdfc70720db4""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,3011ce04-2f86-400a-b3f3-31f6160221a6,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
7a33eae3-6e4e-48a7-8ce4-b2b7d166ce98,https://cdn.plantatlas.org/img/specimens/USF/222162.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,50d2ccf9ee89bef821dca51f9cc40ebfbb7eacd9,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/222162.jpg""]","[""7a33eae3-6e4e-48a7-8ce4-b2b7d166ce98""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,f8bfefcb-4497-46a1-8064-ba0813c69e1d,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
a24ef61b-f821-4c43-a6b6-398c8207bfcd,https://cdn.plantatlas.org/img/specimens/USF/239171.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,ed60a3b01e2235f62cfd7ea1ed5259a8b3659fe9,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/239171.jpg""]","[""a24ef61b-f821-4c43-a6b6-398c8207bfcd""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,3a6de28f-7044-4b68-9b44-c4f5b7d78721,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
a1f11401-09ef-41cc-9982-743a7b63dc55,https://cdn.plantatlas.org/img/specimens/USF/89701.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,39b2a04e17ffa3600e7e5a5fbafafa212dafa6ef,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/89701.jpg""]","[""a1f11401-09ef-41cc-9982-743a7b63dc55""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,0b02106d-c9a4-4dfa-86d4-4f67b31fe75a,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
80122e5d-b648-4d5c-a425-ff4dd1b40e20,https://cdn.plantatlas.org/img/specimens/USF/167506.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,67f689a1a61dccb052a869e4bfb0b911dade2964,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/167506.jpg""]","[""80122e5d-b648-4d5c-a425-ff4dd1b40e20""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,a3793e54-b0d5-4b37-bb84-8328fb5fc360,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
31c7e893-4b4c-4ef4-94ec-3b80d10396c0,https://cdn.plantatlas.org/img/specimens/USF/681.jpg,2019-05-06T20:56:27.067349+00:00,0.5454545454545454,74fa63e12171a4dc2470dd80931c23886124cfb0,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""f1cf8457-237e-487a-9d13-5de7d81b9de4\\media\\https://cdn.plantatlas.org/img/specimens/usf/681.jpg""]","[""31c7e893-4b4c-4ef4-94ec-3b80d10396c0""]",f1cf8457-237e-487a-9d13-5de7d81b9de4,BY-NC-SA,,stillimage,8ac1c980-73f9-4be0-b807-1d4ef6aa0c41,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
