coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:LocationShown,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:relatedResourceID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:higherClassification,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:lifeStage,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:preparations,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonRank,dwc:verbatimElevation,dwc:vernacularName,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,symbiota:recordID,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
d624cc29-feaf-4640-b52d-f337b794c78f,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/52081.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/52081.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/52081.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 52081) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
dbb5a776-739e-4796-b825-7cffd0d4d12c,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/132728.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/132728.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/132728.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 132728) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
fbc40b62-1d2a-4a53-a468-932cf5b72b24,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/134908.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/134908.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/134908.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 134908) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
8ca51dbc-5a76-4d77-a353-460deb0a3a46,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/170096.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/170096.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/170096.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 170096) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
51d325bb-9505-4cd0-940b-2d7bda700d3a,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/682.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/682.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/682.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 682) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
1c36bc0f-7880-4c5b-a761-254b2f47ebe6,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/135204.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/135204.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/135204.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 135204) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
46448df5-7b23-4b01-820e-12e00ae6a966,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/253053.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/253053.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/253053.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 253053) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
a666e8ed-c264-4798-b8a2-c475757f6ba1,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/188794.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/188794.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/188794.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 188794) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
26e5b04e-26bd-4770-8563-be1713c28ff4,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/80454.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/80454.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/80454.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 80454) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
ccd827b0-837a-475c-b2f1-e4ae5450d3bf,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/252866.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/thumbs/252866.jpg,Thumbnail,,image/jpeg,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,StillImage,,,,,,,,https://cdn.plantatlas.org/img/specimens/USF/252866.jpg,,,,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,,,"Sorghastrum secundum (Elliott) Nash - USA, Florida (BARCODE: 252866) - USF Herbarium",http://purl.org/dc/dcmitype/StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of South Florida Herbarium (USF),,https://creativecommons.org/licenses/by-nc-sa/4.0/
